name,links,playlist_uris,user
Indie Christmas 2021 🎄 - A Festive Folk/Pop Playlist,https://open.spotify.com/playlist/0dTfobeNe9YHzeGT8Rs0bi,0dTfobeNe9YHzeGT8Rs0bi,alexrainbirdMusic
Indie/Rock/Alt Compilation - December 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/5j791w57e4Q7acfrLuZXa8,5j791w57e4Q7acfrLuZXa8,alexrainbirdMusic
Indie/Pop/Folk Compilation - December 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/1TRzCnmmQfPKDNkjppJZ2q,1TRzCnmmQfPKDNkjppJZ2q,alexrainbirdMusic
Indie/Indie-Folk Compilation - Winter 2021 ❄️ (alexrainbirdMusic),https://open.spotify.com/playlist/086ygYtwLhxZZDGepB8pLl,086ygYtwLhxZZDGepB8pLl,alexrainbirdMusic
Cozy Cabin 🏕️ - A Calming Indie/Folk/Chill Playlist,https://open.spotify.com/playlist/1SkscP0elo6rIQw0k7K7pc,1SkscP0elo6rIQw0k7K7pc,alexrainbirdMusic
Indie/Rock/Alt Compilation - November 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/2PfnMS4u5okZ5PuRgUqjBR,2PfnMS4u5okZ5PuRgUqjBR,alexrainbirdMusic
Indie/Pop/Folk Compilation - November 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/68MeklMT25eTLKhS84Gb1v,68MeklMT25eTLKhS84Gb1v,alexrainbirdMusic
Dark Forest 🦇 - An Indie/Folk/Alternative Playlist | Vol. 4 (Halloween 2021),https://open.spotify.com/playlist/02nnbJtNlbMg6aqv6mx5SG,02nnbJtNlbMg6aqv6mx5SG,alexrainbirdMusic
Sweater Weather 🧣🎃 - A Indie/Folk/Acoustic Playlist,https://open.spotify.com/playlist/6IX2aXDMHry89SpX6NSFog,6IX2aXDMHry89SpX6NSFog,alexrainbirdMusic
Indie/Rock/Alt Compilation - October 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/1jA19gqEiNvZOblBpRrOef,1jA19gqEiNvZOblBpRrOef,alexrainbirdMusic
Indie/Pop/Folk Compilation - October 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/2PaH97usiSS0zS25jiJy6w,2PaH97usiSS0zS25jiJy6w,alexrainbirdMusic
Stress-Free Studying 📚 - An Indie/Folk/Pop Playlist | Vol. 3,https://open.spotify.com/playlist/3WEl7QctcpBEZZdu1SqaUa,3WEl7QctcpBEZZdu1SqaUa,alexrainbirdMusic
Indie/Indie-Folk Compilation - Autumn/Fall 2021 🍂 (alexrainbirdMusic),https://open.spotify.com/playlist/1DzxqxWb84ci6bgGfLMZ2L,1DzxqxWb84ci6bgGfLMZ2L,alexrainbirdMusic
Indie/Rock/Alt Compilation - September 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/6aFmXltwjNhZtvPO6Nzui2,6aFmXltwjNhZtvPO6Nzui2,alexrainbirdMusic
Indie/Pop/Folk Compilation - September 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/6jddOKwmMHJZRysB8NwAqo,6jddOKwmMHJZRysB8NwAqo,alexrainbirdMusic
Wanderlust 🌲 - An Indie/Folk/Pop Playlist | Vol. III,https://open.spotify.com/playlist/3pQG8BBI5mcYQ2mIk1hqx3,3pQG8BBI5mcYQ2mIk1hqx3,alexrainbirdMusic
Endless Summer Nights 🌃🌴 - An Indie/Alternative Playlist,https://open.spotify.com/playlist/0z98XUgDI1gDPaKjXrBAly,0z98XUgDI1gDPaKjXrBAly,alexrainbirdMusic
Indie/Rock/Alt Compilation - August 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/6GcBjc2hwKdavvL8TIbomi,6GcBjc2hwKdavvL8TIbomi,alexrainbirdMusic
Indie/Pop/Folk Compilation - August 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/4onsNzmcIiL9H4ZsDk9h0P,4onsNzmcIiL9H4ZsDk9h0P,alexrainbirdMusic
Relaxing Sunday Mornings ☕ - An Indie/Folk/Pop Playlist | Vol. 5,https://open.spotify.com/playlist/5pXNVNg7uxu79gmx6UOdJ7,5pXNVNg7uxu79gmx6UOdJ7,alexrainbirdMusic
Good Vibes! 🙌 - A Happy Indie/Pop/Folk Playlist | Vol. 2,https://open.spotify.com/playlist/6TWmiYubqs0xpcpZrsRUAx,6TWmiYubqs0xpcpZrsRUAx,alexrainbirdMusic
Indie/Rock/Alt Compilation - July 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/6MGiDfZ3yhY0Hg8Ej5Be73,6MGiDfZ3yhY0Hg8Ej5Be73,alexrainbirdMusic
Indie/Pop/Folk Compilation - July 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/0i5qNS3ldKHWA4D2MDWsQ4,0i5qNS3ldKHWA4D2MDWsQ4,alexrainbirdMusic
Indie/Indie-Folk Compilation - Summer 2021 ☀️ (alexrainbirdMusic),https://open.spotify.com/playlist/78EztZuvopIkhE6BJW9de8,78EztZuvopIkhE6BJW9de8,alexrainbirdMusic
Indie/Rock/Alt Compilation - June 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/7evtdDxwmD0rFyaimdk8Pr,7evtdDxwmD0rFyaimdk8Pr,alexrainbirdMusic
Indie/Pop/Folk Compilation - June 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/6OcdFlFd1ghGwNIwDZM21X,6OcdFlFd1ghGwNIwDZM21X,alexrainbirdMusic
The Ocean Is Calling 🌊 - A Coastal Indie/Pop/Folk Playlist ,https://open.spotify.com/playlist/46Saq9ZieeAyKZPZLPWdNP,46Saq9ZieeAyKZPZLPWdNP,alexrainbirdMusic
Acoustic Nights 🌙🌃 - A Midnight Indie/Folk/Chill Playlist,https://open.spotify.com/playlist/5Qf6YChegPVYdiHDXV0EAf,5Qf6YChegPVYdiHDXV0EAf,alexrainbirdMusic
Indie/Rock/Alt Compilation - May 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/5brzr7d1jQClshfl3ZStLB,5brzr7d1jQClshfl3ZStLB,alexrainbirdMusic
Indie/Pop/Folk Compilation - May 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/7s8kNAkyBDonv8F9F0jeoi,7s8kNAkyBDonv8F9F0jeoi,alexrainbirdMusic
Brighter Days 🌻 - A Hopeful Indie/Pop/Folk Playlist,https://open.spotify.com/playlist/3AdPD3N0pPP87EyLAWvLeX,3AdPD3N0pPP87EyLAWvLeX,alexrainbirdMusic
beautiful. 🗻 - An Emotional Indie/Folk/Pop Playlist | Vol. 2,https://open.spotify.com/playlist/5w9Q8KM5e7kVAboWVgNj7b,5w9Q8KM5e7kVAboWVgNj7b,alexrainbirdMusic
Indie/Rock/Alt Compilation - April 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/6YnCbJYHAqqmyWxip0X8c5,6YnCbJYHAqqmyWxip0X8c5,alexrainbirdMusic
Indie/Pop/Folk Compilation - April 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/3SANDKc1KtqyLuhnSTXnaO,3SANDKc1KtqyLuhnSTXnaO,alexrainbirdMusic
Indie/Indie-Folk Compilation - Spring 2021 🌼 (alexrainbirdMusic) ,https://open.spotify.com/playlist/7zkofr2LipUciessnwQ8RB,7zkofr2LipUciessnwQ8RB,alexrainbirdMusic
Ultimate Best of alexrainbirdMusic (1M Subscribers Playlist) 🎉,https://open.spotify.com/playlist/4ionsjF9UgQxiebMEVpIXG,4ionsjF9UgQxiebMEVpIXG,alexrainbirdMusic
alexrainbirdMusic Live Celebration 🎤🥳 (1 Million Subscribers Playlist),https://open.spotify.com/playlist/1tNHG9GoHpjDqmmqPRQMx1,1tNHG9GoHpjDqmmqPRQMx1,alexrainbirdMusic
Indie/Rock/Alt Compilation - March 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/5lvTze2JddYpE3y34HMJ8t,5lvTze2JddYpE3y34HMJ8t,alexrainbirdMusic
Indie/Pop/Folk Compilation - March 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/0sDuICvXrOvr6ikxpD5hXF,0sDuICvXrOvr6ikxpD5hXF,alexrainbirdMusic
Tender Love ❤️ - An Indie/Folk/Pop Playlist | Vol. 3,https://open.spotify.com/playlist/4hQ2g2I5FdJQqJw9gAAdU0,4hQ2g2I5FdJQqJw9gAAdU0,alexrainbirdMusic
Indie/Rock/Alt Compilation - February 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/6SN3MzFgagDA4UFjzYDnbk,6SN3MzFgagDA4UFjzYDnbk,alexrainbirdMusic
Indie/Pop/Folk Compilation - February 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/72obsjS3N5AzSH9JypsM5T,72obsjS3N5AzSH9JypsM5T,alexrainbirdMusic
Acoustic Office 🪕🖥️ - An Indie/Folk/Pop Working Playlist,https://open.spotify.com/playlist/1nb8nn1wMi1YGqwcUoRto8,1nb8nn1wMi1YGqwcUoRto8,alexrainbirdMusic
Indie/Rock/Alt Compilation - January 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/4C87UQ9zMUkKgt3ZiTaOop,4C87UQ9zMUkKgt3ZiTaOop,alexrainbirdMusic
Indie/Pop/Folk Compilation - January 2021 (alexrainbirdMusic),https://open.spotify.com/playlist/5jYYWnQy7ora5g3z9xKuML,5jYYWnQy7ora5g3z9xKuML,alexrainbirdMusic
alexrainbirdMusic 2020,https://open.spotify.com/playlist/1URIcSUOWfuKJibpv7fkpg,1URIcSUOWfuKJibpv7fkpg,alexrainbirdMusic
Indie Christmas 2020 🎄 - A Festive Folk/Pop Playlist,https://open.spotify.com/playlist/5nbIy7XGJWKXnhPatOD9wX,5nbIy7XGJWKXnhPatOD9wX,alexrainbirdMusic
Indie/Rock/Alt Compilation - December 2020 (alexrainbirdMusic),https://open.spotify.com/playlist/7M4MpdRukroPOuDrJCrIPA,7M4MpdRukroPOuDrJCrIPA,alexrainbirdMusic
