artist,artist_id,artist_pop,artist_genres,album,album_id,track_name,track_id,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
Seba Safe,2vY3QN8jlAZS4C4OsbDYV6,29,[],Spitfire,2OhGdlMZhX6J1ChHvKXGUb,Spitfire,57TmdsErKaTpbrBX2G7DQi,21,0.744,0.595,8,-8.88,1,0.111,0.675,0.00836,0.355,0.521,127.851,144377,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Northwest Stories,5w1g5MrRpY3zWraNx9HMXS,34,[],Greener,10oJcH4v8Jo9d4nOQJniSq,Scenic Route,3R8mnqjF3GIxaiVnMIaPbx,18,0.395,0.358,9,-9.851,0,0.037,0.697,0.000704,0.2,0.446,83.449,211894,1,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Phillip LaRue,7gIDHAJ0iFOGSMTiqsNUZT,46,"[acoustic pop, indie folk, indiecoustica, neo mellow, stomp and holler]",Never Break,3By5Keth1tSycd2vo4IimG,Never Break,5YfzEm06daynA9v8yNrz7x,36,0.732,0.429,0,-8.419,1,0.0352,0.36,0.000445,0.0867,0.185,135.968,191893,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Mokita,3sKeaby6GMSJWgYueZaSjE,66,"[chill pop, chill r&b, electropop, pop]",Echo,2h2kRg9KFJFV2585w52F9i,Echo,3vTk0zFuqZOcnrKNLOzGW4,37,0.296,0.332,3,-6.757,1,0.0355,0.839,0,0.104,0.259,74.324,239152,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Pop / Folk Compilation: March 2023,6Ngp5vLfQgZly5bLLihe82,Who Knew,4FxlDqpGVNpAXBxbLAWRu5,17,0.588,0.277,6,-15.415,1,0.0323,0.935,0.309,0.0845,0.456,150.096,222119,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Blue Lupin,4nvmEaGN3anmieg2aqqoCp,12,[],Television,36WPNDd4TqMRyzNru2iOFQ,Television,5JQcSlH7FGWGzJUdJBMxE2,18,0.441,0.54,8,-9.648,1,0.0279,0.462,0.126,0.1,0.133,92.942,247677,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Jenny Mayhem,3NTst6yWxqqQscJiYWoUDE,22,[barbadian pop],Feel Alright,0ZWQILD9dAGNYuN6fhk6V4,Feel Alright,5dNTPcJnKeKBGWucIUHdbc,18,0.624,0.721,9,-8.887,1,0.0367,0.587,0.687,0.0994,0.354,118.101,190169,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Casey Dubie,1sYE9vIZsQ6cxgdr7ysq2F,27,[],Science Teacher,63zjLEjKThzAcndZeFC0WU,Science Teacher,0pHgAUcTiHjVIoRzUvYpR4,19,0.413,0.447,9,-12.494,1,0.145,0.782,0.408,0.0896,0.283,163.959,206867,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
néomí,7bfwKXhmR1JF1PiBzaxY2b,38,[],skipping stone,6iEIEFKB1OShW5ImoSZEFs,skipping stone,6gD86nnXjZPG6bMoJdPEu8,41,0.459,0.437,2,-13.089,0,0.0305,0.728,0.00255,0.11,0.0971,139.503,189712,3,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Ryan Harris,38Cj253ij4uQ7Rce6tArIG,45,[],Same Sun,0iDJ1kQZNuXhilxTTCwAHA,Same Sun,6MEoQa6jl59PrxnItrOJGY,36,0.709,0.317,1,-14.185,0,0.0347,0.686,0.201,0.106,0.263,117.033,185899,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Tay Oskee,6oqDqZlET7T3JO9YWD2pVW,49,"[australian indie folk, australian indigenous]",Let The Fire Burn,7wUvyUi0pz96oyUOkNUZqJ,Let The Fire Burn,15NQeamLTDRw15EOWMTUpK,31,0.686,0.734,1,-8.478,1,0.0433,0.205,0.0019,0.125,0.729,74.503,231323,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Pop / Folk Compilation: March 2023,6Ngp5vLfQgZly5bLLihe82,Punchline,3ku8pY89pNpD7aPHb7yNEw,15,0.579,0.263,8,-11.222,0,0.0272,0.832,0.000294,0.102,0.227,60.008,272064,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Pop / Folk Compilation: March 2023,6Ngp5vLfQgZly5bLLihe82,"Focus, in Frame",6xLeCF0zD3YmOpQ1Mu2h7K,15,0.394,0.529,3,-8.179,1,0.0385,0.585,0.0011,0.123,0.534,162.083,236568,3,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Portair,5eNDu0xRakAeO0Za8pRIuG,49,[],Life We've Built,5kxKNgs6U71Oj9asgDLzvH,Life We've Built,0vyc9xaz0TaDicl4F2AuQQ,39,0.41,0.299,2,-12.212,1,0.0331,0.817,0.00829,0.115,0.346,153.211,229412,3,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
CHPTRS,3BWtALtalPxptLllZwZ4QI,44,[],All of Our Tomorrows,0adDZL84EfyOrkW6z2GHCo,All of Our Tomorrows,5pgQ9Ka4xupei6NRdZYiIl,32,0.586,0.541,7,-10.791,1,0.0326,0.165,0.00284,0.0971,0.179,87.977,245316,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Pop / Folk Compilation: March 2023,6Ngp5vLfQgZly5bLLihe82,Obliviamos,7bekLarpeFwE2De4DmlfS4,15,0.583,0.82,11,-5.148,0,0.0488,0.104,0,0.264,0.718,80.024,138382,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Pop / Folk Compilation: March 2023,6Ngp5vLfQgZly5bLLihe82,Earhart,66adxycQyWp8ebehwOuaLw,15,0.463,0.506,11,-9.749,1,0.038,0.699,0,0.125,0.381,81.99,205139,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Adrea Castiano,5WEPLAC6tsBAWTN708UAlO,22,[],A Thousand Cuts,6ArbThBUEQwgS8DUNR2lyA,A Thousand Cuts,3nIjBkR0TldADx28VEjTKG,15,0.637,0.674,11,-7.941,1,0.0403,0.517,0,0.0893,0.745,132.027,226267,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Joe Dolman,4A5MQi1opEqAcE0yZCmrZw,32,"[coventry indie, indie anthem-folk]",Until You Fall in Love,6M6hf8xTPbk868T11JIybl,Until You Fall in Love,1ZDtCnvDsnzFG3EF6AuOsw,17,0.627,0.436,3,-8.905,1,0.0298,0.355,0,0.163,0.399,119.892,206000,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
East Love,0xGSNh06Su9UthAz4o1cvM,37,[indiecoustica],Right Side of the Wrong,0RsFMV6POuGIQ6nZeflLNE,Right Side of the Wrong,34tYFlGafB4ZyCxfNWx65B,26,0.737,0.645,2,-7.081,1,0.0796,0.415,0,0.0517,0.694,94.038,175677,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Pop / Folk Compilation: March 2023,6Ngp5vLfQgZly5bLLihe82,Sara,7cfIVBg9oDn3jxPRfJQo2b,14,0.695,0.405,4,-12.516,0,0.0552,0.822,0.082,0.109,0.64,181.772,174066,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Wanderland,3w9Pl01FxY78QXeinBuCsF,14,[modern indie folk],Songs II,4IKyeYaMo4t55lUAYI051v,Sleepwalker,6DBxRgx4wT381kGH8h29sY,15,0.671,0.393,8,-11.862,1,0.0419,0.699,0.076,0.0938,0.437,89.01,226736,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Pop / Folk Compilation: March 2023,6Ngp5vLfQgZly5bLLihe82,Clouds (Get Away),52Wee4z70iKmwRVEBM4OWa,14,0.787,0.621,9,-8.931,1,0.0326,0.803,1.65E-05,0.0687,0.604,120.025,215982,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
